,open,high,low,close,volume
2024-10-01 00:00:00,1.1004040292917392,1.1005262103407654,1.09982855044553,1.1002483570765058,513
2024-10-01 00:15:00,1.0998246387221806,1.1005077008575874,1.0996574857605725,1.0999348758654464,457
2024-10-01 00:30:00,1.10016822052443,1.1007514305732602,1.1003139711901384,1.1003318603011145,174
2024-10-01 00:45:00,1.100772864084818,1.1009424297473074,1.1005794579429886,1.1007735389763003,454
2024-10-01 01:00:00,1.0998649184522618,1.1000941481475033,1.0996894883826827,1.0998989553767666,683
2024-10-01 01:15:00,1.0998123259918202,1.1000491092168152,1.0997849259860593,1.0999029716016857,870
2024-10-01 01:30:00,1.1009529319934375,1.100991372681218,1.100545096537938,1.1008136545039462,287
2024-10-01 01:45:00,1.100602834518515,1.1006709707077047,1.1002212219362963,1.1004117734768009,784
2024-10-01 02:00:00,1.0998150083125475,1.0998118834236728,1.0994824611206935,1.0997973269352892,389
2024-10-01 02:15:00,1.1006028581822926,1.100556637201005,1.1001467816026134,1.1003073521660816,144
2024-10-01 02:30:00,1.0995800334910877,1.0998895083616484,1.0994131530942242,1.0998083713139144,672
2024-10-01 02:45:00,1.0997724914077116,1.0998262947324022,1.09975194341816,1.0998112232995676,182
2024-10-01 03:00:00,1.1000257128640472,1.1002407617422278,1.0995464990663801,1.1001690773281678,222
2024-10-01 03:15:00,1.0987221567626733,1.0993677331847005,1.098888707740661,1.099095464086088,457
2024-10-01 03:30:00,1.099177117171024,1.099366684707363,1.098672864167243,1.0991936533081925,627
2024-10-01 03:45:00,1.0997546269741838,1.1000055938436082,1.0997196032408219,1.0997789764758605,165
2024-10-01 04:00:00,1.0998604026449943,1.0997079878526332,1.0993622872952615,1.0995577126963458,756
2024-10-01 04:15:00,1.1003514222757536,1.1005185265122823,1.1000800941886264,1.1002252599388427,474
2024-10-01 04:30:00,1.099413294885951,1.0996479319424455,1.0995220280583584,1.0996181322508167,261
2024-10-01 04:45:00,1.0997408189672084,1.099595416590953,1.0992427506700209,1.0993700004539415,845
2024-10-01 05:00:00,1.1010571914442073,1.1013138062894388,1.1006561340586916,1.1008129847051022,479
2024-10-01 05:15:00,1.1000876997271238,1.100134288244144,1.0997991701852485,1.09997128018643,755
2024-10-01 05:30:00,1.1000766436352796,1.1003207275827334,1.1001146340773713,1.1001219404550495,457
2024-10-01 05:45:00,1.0991879224282861,1.0995509898762086,1.0987371291680472,1.0993798102756307,287
2024-10-01 06:00:00,1.0997495596672928,1.10005297876947,1.0993057380714768,1.099824001022507,421
2024-10-01 06:15:00,1.1003734114195973,1.1006971263258558,1.1000247645947543,1.1001556616956565,549
2024-10-01 06:30:00,1.0999056288893097,1.1000169743594876,1.0995173105846723,1.0995287116281227,573
2024-10-01 06:45:00,1.1006047141476931,1.100310490926037,1.1002600560440232,1.1002960654420386,112
2024-10-01 07:00:00,1.0997141352195814,1.099889821854455,1.0996278497121195,1.0998119051039386,283
2024-10-01 07:15:00,1.0997464621033752,1.1002416805775646,1.0996635478204737,1.0999703855900331,210
2024-10-01 07:30:00,1.0998475644242296,1.1000109649124805,1.0997421742136204,1.0998193871748474,607
2024-10-01 07:45:00,1.1006966997161358,1.101548843607929,1.1005498123670852,1.1010503875892483,389
